;PID;area;price;MS.SubClass;MS.Zoning;Lot.Frontage;Lot.Area;Street;Alley;Lot.Shape;Land.Contour;Utilities;Lot.Config;Land.Slope;Neighborhood;Condition.1;Condition.2;Bldg.Type;House.Style;Overall.Qual;Overall.Cond;Year.Built;Year.Remod.Add;Roof.Style;Roof.Matl;Exterior.1st;Exterior.2nd;Mas.Vnr.Type;Mas.Vnr.Area;Exter.Qual;Exter.Cond;Foundation;Bsmt.Qual;Bsmt.Cond;Bsmt.Exposure;BsmtFin.Type.1;BsmtFin.SF.1;BsmtFin.Type.2;BsmtFin.SF.2;Bsmt.Unf.SF;Total.Bsmt.SF;Heating;Heating.QC;Central.Air;Electrical;X1st.Flr.SF;X2nd.Flr.SF;Low.Qual.Fin.SF;Bsmt.Full.Bath;Bsmt.Half.Bath;Full.Bath;Half.Bath;Bedroom.AbvGr;Kitchen.AbvGr;Kitchen.Qual;TotRms.AbvGrd;Functional;Fireplaces;Fireplace.Qu;Garage.Type;Garage.Yr.Blt;Garage.Finish;Garage.Cars;Garage.Area;Garage.Qual;Garage.Cond;Paved.Drive;Wood.Deck.SF;Open.Porch.SF;Enclosed.Porch;X3Ssn.Porch;Screen.Porch;Pool.Area;Pool.QC;Fence;Misc.Feature;Misc.Val;Mo.Sold;Yr.Sold;Sale.Type;Sale.Condition
158;40157;941;145000;90;RL;75;8604;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;Duplex;SFoyer;5;7;1978;1978;Gable;CompShg;Plywood;Plywood;BrkFace;124;TA;Gd;CBlock;Gd;TA;Av;GLQ;941;Unf;0;0;941;GasA;Gd;Y;SBrkr;941;0;0;1;0;1;0;2;1;Gd;4;Typ;0;NA;Attchd;1978;Unf;2;564;TA;TA;Y;0;40;0;0;0;0;NA;NA;NA;0;11;2009;WD ;Normal
159;40158;1288;245500;120;RL;38;14963;Pave;NA;IR2;Lvl;AllPub;Inside;Gtl;Veenker;Norm;Norm;TwnhsE;1Story;8;5;1996;1996;Gable;CompShg;BrkFace;BrkFace;None;0;Gd;TA;PConc;Gd;TA;No;GLQ;786;Unf;0;474;1260;GasA;Ex;Y;SBrkr;1288;0;0;1;0;1;1;1;1;Ex;4;Typ;2;Gd;Attchd;1996;Fin;2;500;TA;TA;Y;120;30;0;0;224;0;NA;NA;NA;0;12;2008;WD ;Normal
160;40159;1005;133500;20;RL;65;11050;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;5;1956;1956;Hip;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;LwQ;488;Unf;0;517;1005;GasA;Ex;Y;SBrkr;1005;0;0;0;0;1;0;2;1;TA;6;Typ;1;TA;Attchd;1956;Unf;1;319;TA;TA;Y;0;0;0;0;288;0;NA;NA;NA;0;7;2006;WD ;Normal
161;40160;1696;198000;20;RL;NA;20693;Pave;NA;IR1;Bnk;AllPub;Corner;Gtl;Crawfor;Norm;Norm;1Fam;1Story;7;5;1971;1971;Gable;CompShg;Plywood;Plywood;BrkFace;652;TA;TA;CBlock;Gd;TA;No;Rec;434;Unf;0;1262;1696;GasA;Ex;Y;SBrkr;1696;0;0;0;0;2;0;3;1;TA;7;Typ;2;TA;Attchd;1971;Fin;2;625;TA;TA;Y;0;146;0;0;0;0;NA;GdWo;NA;0;2;2007;WD ;Normal
162;40161;1541;205000;20;RL;118;13704;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;CollgCr;Norm;Norm;1Fam;1Story;7;5;2001;2002;Gable;CompShg;VinylSd;VinylSd;BrkFace;150;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;1541;1541;GasA;Ex;Y;SBrkr;1541;0;0;0;0;2;0;3;1;Gd;6;Typ;1;TA;Attchd;2001;RFn;3;843;TA;TA;Y;468;81;0;0;0;0;NA;NA;NA;0;1;2006;WD ;Normal
163;40162;2225;285000;60;RL;88;11134;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NoRidge;Norm;Norm;1Fam;2Story;8;5;1992;1993;Gable;CompShg;HdBoard;HdBoard;BrkFace;180;Gd;TA;PConc;Gd;TA;No;GLQ;1129;Unf;0;261;1390;GasA;Ex;Y;SBrkr;1402;823;0;1;0;2;1;4;1;Gd;7;Typ;1;TA;Attchd;1992;RFn;3;713;TA;TA;Y;198;30;0;0;0;0;NA;NA;NA;0;6;2010;WD ;Normal
164;40163;1280;175000;85;RL;NA;10050;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;SFoyer;5;6;1966;1966;Gable;CompShg;HdBoard;HdBoard;BrkFace;87;TA;TA;CBlock;TA;TA;Av;GLQ;602;Unf;0;191;793;GasA;Ex;Y;SBrkr;1280;0;0;0;1;2;0;3;1;TA;6;Typ;1;TA;Basment;1966;Fin;2;432;TA;TA;Y;140;40;0;0;0;0;NA;NA;NA;0;6;2007;WD ;Normal
165;40164;1882;160000;90;RL;75;8250;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;Norm;Norm;Duplex;2Story;6;7;1981;1981;Gable;CompShg;Wd Sdng;Wd Shng;None;0;TA;TA;Slab;NA;NA;NA;NA;0;NA;0;0;0;GasA;TA;Y;SBrkr;964;918;0;0;0;2;0;4;2;TA;8;Typ;2;TA;Attchd;1981;Unf;2;612;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;5;2009;WD ;Normal
166;40165;2872;272000;60;RL;NA;12227;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;PosN;Norm;1Fam;2Story;6;7;1977;1995;Gable;CompShg;HdBoard;HdBoard;BrkFace;424;TA;Gd;CBlock;Gd;Gd;No;ALQ;896;Unf;0;434;1330;GasA;TA;Y;SBrkr;1542;1330;0;1;0;2;1;4;1;TA;11;Typ;1;TA;Attchd;1977;Fin;2;619;TA;TA;Y;550;282;0;0;0;0;NA;NA;NA;0;7;2008;WD ;Normal
167;40166;1396;115000;190;C (all);50;9000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;2fmCon;1.5Fin;5;6;1951;1951;Gable;CompShg;WdShing;Wd Shng;None;0;Fa;Fa;CBlock;TA;TA;Mn;Unf;0;Unf;0;660;660;GasA;TA;N;SBrkr;1060;336;0;0;0;2;0;4;2;TA;8;Min2;0;NA;NA;NA;NA;0;0;NA;NA;Y;0;0;0;0;0;0;NA;NA;NA;0;10;2006;WD ;Abnorml
168;40167;1132;134000;50;RM;50;6000;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;Norm;Norm;1Fam;1.5Fin;6;7;1939;1950;Gable;CompShg;MetalSd;MetalSd;None;0;TA;TA;BrkTil;TA;Gd;No;BLQ;452;LwQ;12;144;608;GasA;TA;Y;SBrkr;608;524;0;1;0;1;0;2;1;TA;5;Typ;0;NA;Detchd;1939;Unf;1;240;TA;TA;Y;0;0;128;0;0;0;NA;MnPrv;NA;0;4;2010;WD ;Abnorml
169;40168;899;78000;30;RM;60;6756;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1Story;5;6;1910;1950;Mansard;CompShg;MetalSd;MetalSd;None;0;TA;TA;BrkTil;TA;Gd;No;Unf;0;Unf;0;481;481;GasA;TA;N;FuseA;899;0;0;0;0;1;0;2;1;TA;5;Typ;0;NA;Detchd;1930;Unf;1;200;Fa;TA;P;0;0;96;0;0;0;NA;NA;NA;0;9;2008;WD ;Normal
170;40169;844;111500;30;RM;50;5633;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1Story;5;7;1925;1950;Gable;CompShg;MetalSd;Stucco;None;0;TA;TA;BrkTil;TA;Fa;No;Unf;0;Unf;0;844;844;GasA;TA;Y;SBrkr;844;0;0;0;0;1;0;2;1;TA;5;Typ;0;NA;Detchd;1925;Unf;1;216;TA;TA;N;50;81;123;0;0;0;NA;NA;NA;0;7;2006;WD ;Normal
171;40170;2377;142900;50;RL;60;10410;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1.5Fin;4;5;1915;1950;Gable;CompShg;MetalSd;MetalSd;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;1313;1313;GasA;TA;Y;SBrkr;1313;0;1064;0;0;2;0;3;1;Gd;8;Min2;1;TA;Detchd;1954;Unf;2;528;TA;TA;Y;0;0;432;0;0;0;NA;NA;NA;0;6;2009;WD ;Normal
172;40171;1154;125500;50;RM;40;5436;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1.5Fin;4;8;1922;2007;Gable;CompShg;VinylSd;VinylSd;None;0;TA;Gd;BrkTil;TA;TA;No;BLQ;735;Unf;0;61;796;GasA;Gd;Y;SBrkr;796;358;0;1;0;1;0;3;1;Gd;7;Typ;0;NA;Detchd;1922;Unf;1;240;TA;TA;N;0;96;0;0;0;0;NA;MnPrv;NA;0;5;2010;WD ;Normal
173;40172;864;125500;20;RL;60;6600;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;PosN;Norm;1Fam;1Story;5;5;1962;1962;Hip;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;ALQ;110;BLQ;442;312;864;GasA;Gd;Y;SBrkr;864;0;0;0;0;1;0;2;1;TA;5;Typ;0;NA;Detchd;1962;Unf;1;294;TA;TA;Y;58;0;0;0;0;0;NA;NA;NA;0;12;2007;WD ;Normal
174;40173;2097;423000;20;RL;49;20896;Pave;NA;IR2;Lvl;AllPub;CulDSac;Gtl;Somerst;RRAn;Norm;1Fam;1Story;8;5;2005;2006;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Ex;TA;Mn;GLQ;1721;Unf;0;356;2077;GasA;Ex;Y;SBrkr;2097;0;0;1;0;1;1;1;1;Ex;8;Typ;1;Ex;Attchd;2005;Fin;3;1134;TA;TA;Y;192;267;0;0;0;0;NA;NA;NA;0;1;2006;New;Partial
175;40174;1176;119900;20;RL;73;16133;Pave;NA;Reg;HLS;AllPub;Inside;Gtl;Edwards;Norm;Norm;1Fam;1Story;5;4;1969;1969;Gable;CompShg;HdBoard;Plywood;None;0;TA;TA;CBlock;Gd;TA;Mn;ALQ;847;Unf;0;329;1176;GasA;TA;Y;SBrkr;1176;0;0;1;0;1;0;2;1;TA;5;Typ;0;NA;Attchd;1969;Unf;1;360;TA;TA;Y;0;92;0;0;112;0;NA;NA;NA;0;12;2006;WD ;Abnorml
176;40175;1460;247000;20;RL;87;10037;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;Somerst;Feedr;Norm;1Fam;1Story;8;5;2006;2007;Hip;CompShg;VinylSd;VinylSd;;NA;Gd;TA;PConc;Ex;TA;No;GLQ;666;Unf;0;794;1460;GasA;Ex;Y;SBrkr;1460;0;0;0;0;2;0;3;1;Gd;6;Typ;1;Gd;Attchd;2006;Fin;2;480;TA;TA;Y;0;20;0;0;0;0;NA;NA;NA;0;8;2008;WD ;Normal
177;40176;1626;226500;20;RL;80;9938;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;Norm;Norm;1Fam;1Story;7;5;1994;1994;Gable;CompShg;HdBoard;HdBoard;BrkFace;251;Gd;TA;PConc;Gd;TA;No;GLQ;1271;Unf;0;331;1602;GasA;Ex;Y;SBrkr;1626;0;0;1;0;2;1;3;1;Gd;7;Typ;1;TA;Attchd;1994;RFn;2;534;TA;TA;Y;424;40;0;0;0;0;NA;NA;NA;0;4;2008;WD ;Normal
178;40177;1720;260400;20;RL;59;10593;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;Norm;Norm;1Fam;1Story;7;5;1996;1996;Hip;CompShg;VinylSd;VinylSd;BrkFace;338;Gd;TA;PConc;Gd;TA;No;GLQ;919;Unf;0;801;1720;GasA;Ex;Y;SBrkr;1720;0;0;1;0;2;0;3;1;Gd;7;Typ;1;TA;Attchd;1996;Fin;2;527;TA;TA;Y;240;56;154;0;0;0;NA;NA;NA;0;3;2010;WD ;Normal
179;40178;1236;135000;20;RL;65;6993;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Sawyer;Feedr;Norm;1Fam;1Story;5;7;1961;1994;Gable;CompShg;HdBoard;Plywood;None;0;TA;TA;CBlock;TA;TA;No;BLQ;465;Unf;0;447;912;GasA;TA;Y;SBrkr;1236;0;0;0;0;1;0;3;1;TA;6;Typ;1;TA;Attchd;1961;Unf;1;288;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;6;2006;WD ;Normal
180;40179;1603;175900;60;RL;65;7153;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;SawyerW;Norm;Norm;1Fam;2Story;6;5;1992;1992;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;Gd;PConc;Gd;TA;No;ALQ;387;Unf;0;374;761;GasA;Ex;Y;SBrkr;810;793;0;0;0;2;1;3;1;Gd;7;Typ;0;NA;Attchd;1992;RFn;2;484;TA;TA;Y;0;124;0;0;0;0;NA;NA;NA;0;7;2006;WD ;Normal
181;40180;1411;82500;20;RL;85;11900;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NWAmes;Norm;Norm;1Fam;1Story;7;5;1977;1977;Hip;CompShg;Plywood;Plywood;BrkFace;209;TA;Gd;CBlock;TA;TA;No;ALQ;822;Unf;0;564;1386;GasA;TA;Y;SBrkr;1411;0;0;0;0;2;0;3;1;TA;6;Typ;1;TA;Attchd;1977;Fin;2;544;TA;TA;Y;192;0;0;0;0;0;NA;NA;NA;0;4;2009;WD ;Family
182;40181;935;79500;40;RM;50;9100;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;BrkSide;RRAn;Feedr;1Fam;1Story;5;6;1930;1960;Gable;CompShg;VinylSd;VinylSd;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;742;742;GasA;TA;Y;FuseA;779;0;156;0;0;1;0;2;1;TA;4;Typ;0;NA;Detchd;1988;Unf;1;308;TA;TA;P;0;0;0;0;0;0;NA;NA;Shed;600;8;2008;WD ;Normal
183;40182;2090;207500;160;RL;NA;5062;Pave;NA;IR1;Lvl;AllPub;CulDSac;Gtl;StoneBr;Norm;Norm;TwnhsE;2Story;7;5;1984;1984;Gable;CompShg;HdBoard;HdBoard;None;0;Gd;TA;CBlock;Gd;TA;Mn;GLQ;828;LwQ;182;180;1190;GasA;Gd;Y;SBrkr;1190;900;0;1;0;2;0;3;1;Gd;6;Min1;1;TA;Attchd;1984;Fin;2;577;TA;TA;Y;219;0;0;0;0;0;NA;NA;NA;0;9;2007;WD ;Normal
184;40183;897;115000;20;RL;86;8665;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Sawyer;Norm;Norm;1Fam;1Story;5;5;1968;1968;Gable;CompShg;HdBoard;HdBoard;BrkFace;89;TA;TA;CBlock;TA;TA;Mn;Rec;168;BLQ;288;420;876;GasA;TA;Y;SBrkr;897;0;0;0;0;1;0;3;1;TA;5;Typ;0;NA;Attchd;1968;RFn;1;264;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;1;2007;WD ;Normal
185;40184;1656;249700;20;FV;84;11096;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;Somerst;Norm;Norm;1Fam;1Story;8;5;2006;2006;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;Av;GLQ;24;Unf;0;1632;1656;GasA;Ex;Y;SBrkr;1656;0;0;0;0;2;0;3;1;Gd;7;Typ;0;NA;Attchd;2006;RFn;3;826;TA;TA;Y;0;146;0;0;0;0;NA;NA;NA;0;7;2007;WD ;Normal
186;40185;1000;164000;20;RL;87;13050;Pave;NA;Reg;Low;AllPub;Inside;Mod;ClearCr;Norm;Norm;1Fam;1Story;5;6;1963;1963;Flat;Tar&Grv;WdShing;Wd Shng;None;0;TA;TA;CBlock;Gd;TA;Av;Rec;104;ALQ;850;46;1000;GasA;Ex;Y;SBrkr;1000;0;0;1;0;1;0;1;1;TA;4;Typ;2;TA;Attchd;1993;Unf;2;575;TA;TA;Y;238;0;148;0;0;0;NA;NA;NA;0;4;2006;WD ;Normal
187;40186;2486;220000;50;RM;90;33120;Pave;NA;IR3;Lvl;AllPub;Inside;Gtl;OldTown;RRAn;Feedr;1Fam;1.5Fin;6;5;1962;1962;Gable;CompShg;BrkFace;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;Unf;0;Unf;0;1595;1595;GasA;TA;Y;SBrkr;1611;875;0;0;0;2;0;5;1;TA;8;Typ;1;Gd;Detchd;1962;Unf;2;576;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;10;2006;WD ;Normal
188;40187;1098;135000;20;RL;NA;7390;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;7;1955;1955;Hip;CompShg;Wd Sdng;Wd Sdng;BrkFace;151;TA;TA;CBlock;TA;TA;No;ALQ;902;Unf;0;196;1098;GasA;TA;Y;SBrkr;1098;0;0;1;0;1;0;3;1;TA;6;Typ;0;NA;Attchd;1955;Unf;1;260;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;7;2008;WD ;Normal
189;40188;1040;133700;20;RL;70;7560;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1Story;5;5;1959;1959;Gable;CompShg;BrkFace;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;LwQ;369;Unf;0;671;1040;GasA;TA;Y;FuseA;1040;0;0;0;0;1;0;3;1;TA;6;Typ;0;NA;Attchd;1959;RFn;1;286;TA;TA;Y;140;0;252;0;0;0;NA;GdWo;NA;0;7;2006;WD ;Normal
190;40189;924;112500;20;RL;NA;15783;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Artery;Norm;1Fam;1Story;5;5;1952;1952;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;TA;TA;No;Rec;292;Unf;0;632;924;GasA;TA;Y;SBrkr;924;0;0;0;0;1;0;2;1;TA;6;Typ;0;NA;Detchd;1952;Unf;1;420;TA;TA;Y;0;324;0;0;0;0;NA;MnPrv;Shed;400;6;2007;WD ;Normal
191;40190;1588;150000;50;RL;60;7200;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;1.5Fin;5;6;1955;1967;Gable;CompShg;MetalSd;MetalSd;None;0;TA;Gd;CBlock;TA;TA;Mn;GLQ;370;Unf;0;398;768;GasA;Gd;Y;SBrkr;1024;564;0;0;0;1;1;3;1;TA;6;Typ;0;NA;Detchd;1955;Unf;2;480;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;3;2008;WD ;Normal
192;40191;930;99000;20;RL;68;9520;Pave;NA;Reg;Bnk;AllPub;Inside;Mod;Edwards;Norm;Norm;1Fam;1Story;4;5;1953;1953;Gable;CompShg;MetalSd;MetalSd;Stone;115;TA;TA;CBlock;Gd;TA;No;Rec;767;Unf;0;144;911;GasA;TA;Y;SBrkr;930;0;0;0;0;1;0;2;1;TA;5;Typ;0;NA;Attchd;1953;RFn;1;286;TA;TA;Y;134;0;0;0;0;0;NA;MnPrv;Gar2;3000;5;2008;WD ;Normal
193;40192;1069;146300;120;RL;53;4043;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NPkVill;Norm;Norm;TwnhsE;1Story;6;5;1975;1975;Gable;CompShg;Plywood;Plywood;None;0;TA;TA;CBlock;Gd;TA;No;ALQ;727;BLQ;156;186;1069;GasA;Gd;Y;SBrkr;1069;0;0;0;1;2;0;2;1;TA;4;Typ;1;Po;Attchd;1975;RFn;2;440;TA;TA;Y;0;55;0;0;225;0;NA;NA;NA;0;7;2006;WD ;Normal
194;40193;2104;155000;75;RM;70;6300;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;OldTown;Norm;Norm;1Fam;2.5Unf;7;6;1910;2005;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;1226;1226;GasA;Ex;Y;SBrkr;1226;878;0;0;0;2;0;5;1;TA;9;Typ;0;NA;Detchd;1910;Unf;2;432;Fa;TA;P;0;341;88;0;0;0;NA;NA;NA;0;7;2006;WD ;Normal
195;40194;1728;298751;20;RL;79;11449;Pave;NA;IR1;HLS;AllPub;Inside;Gtl;Timber;Norm;Norm;1Fam;1Story;8;5;2007;2007;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;Av;GLQ;1011;Unf;0;873;1884;GasA;Ex;Y;SBrkr;1728;0;0;1;0;2;0;3;1;Gd;7;Typ;1;Gd;Attchd;2007;Fin;2;520;TA;TA;Y;0;276;0;0;0;0;NA;NA;NA;0;1;2008;WD ;Normal
196;40195;1663;256000;20;RL;NA;53227;Pave;NA;IR1;Low;AllPub;CulDSac;Mod;ClearCr;Norm;Norm;1Fam;1Story;4;6;1954;1994;Flat;Tar&Grv;Plywood;Plywood;None;0;TA;TA;CBlock;Gd;TA;Gd;BLQ;1116;Unf;0;248;1364;GasA;Ex;Y;SBrkr;1663;0;0;1;0;1;0;2;1;Gd;6;Min1;2;Gd;Attchd;1954;Fin;2;529;TA;TA;Y;224;137;0;0;0;0;NA;NA;NA;0;3;2008;WD ;Normal
197;40196;1137;176000;20;RL;54;13811;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;Timber;Norm;Norm;1Fam;1Story;6;6;1987;1987;Gable;CompShg;HdBoard;HdBoard;BrkFace;72;TA;TA;CBlock;Gd;Gd;No;GLQ;980;LwQ;40;92;1112;GasA;Gd;Y;SBrkr;1137;0;0;1;0;2;0;2;1;Gd;5;Typ;1;TA;Attchd;1987;Unf;2;551;TA;TA;Y;125;0;0;0;0;0;NA;NA;NA;0;7;2006;WD ;Normal
198;40197;1217;120000;160;RL;75;10762;Pave;NA;Reg;Lvl;AllPub;Corner;Gtl;SawyerW;Norm;Norm;TwnhsE;2Story;6;6;1980;1980;Gable;CompShg;Plywood;Plywood;None;0;TA;TA;CBlock;Gd;TA;No;Unf;0;Unf;0;626;626;GasA;TA;Y;SBrkr;626;591;0;0;0;1;1;3;1;TA;6;Typ;1;TA;Attchd;1980;RFn;1;288;TA;TA;Y;0;28;0;0;0;0;NA;NA;NA;0;4;2009;WD ;Normal
199;40198;2494;321000;60;RL;NA;10236;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;NoRidge;Norm;Norm;1Fam;2Story;8;5;1994;1995;Gable;CompShg;VinylSd;VinylSd;BrkFace;501;Gd;TA;PConc;Gd;TA;Gd;GLQ;380;BLQ;168;742;1290;GasA;Ex;Y;SBrkr;1305;1189;0;1;0;2;1;4;1;Gd;9;Typ;1;TA;Attchd;1994;Fin;3;803;TA;TA;Y;200;95;0;0;0;0;NA;GdPrv;NA;0;6;2006;WD ;Normal
200;40199;1680;190000;160;FV;39;3515;Pave;Pave;Reg;Lvl;AllPub;Inside;Gtl;Somerst;Norm;Norm;TwnhsE;2Story;7;5;2004;2004;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;No;Unf;0;Unf;0;840;840;GasA;Ex;Y;SBrkr;840;840;0;0;0;2;1;2;1;Gd;3;Typ;0;NA;Attchd;2004;RFn;2;588;TA;TA;Y;0;111;0;0;0;0;NA;NA;NA;0;1;2010;WD ;Normal
201;40200;1165;174900;80;RL;82;9020;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;NAmes;Norm;Norm;1Fam;SLvl;6;7;1966;1966;Gable;CompShg;HdBoard;HdBoard;BrkFace;183;TA;TA;CBlock;TA;TA;Gd;Rec;312;ALQ;539;276;1127;GasA;TA;Y;SBrkr;1165;0;0;1;0;1;1;3;1;TA;6;Typ;0;NA;Attchd;1966;RFn;2;490;Gd;Gd;Y;0;129;0;0;0;0;NA;GdPrv;NA;0;5;2008;WD ;Normal
202;40201;641;85000;30;RM;50;7030;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;IDOTRR;Norm;Norm;1Fam;1Story;4;6;1925;1950;Gable;CompShg;MetalSd;MetalSd;None;0;TA;TA;BrkTil;TA;TA;No;Unf;0;Unf;0;641;641;GasA;Gd;Y;SBrkr;641;0;0;0;0;1;0;2;1;Fa;4;Typ;0;NA;Detchd;1925;Unf;1;272;TA;TA;N;184;0;70;0;0;0;NA;MnPrv;NA;0;3;2006;WD ;Normal
203;40202;1310;164990;20;RL;65;8767;Pave;NA;IR1;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;7;5;2005;2005;Gable;CompShg;VinylSd;VinylSd;None;0;Gd;TA;PConc;Gd;TA;Av;GLQ;24;Unf;0;1286;1310;GasA;Ex;Y;SBrkr;1310;0;0;0;0;2;0;3;1;Gd;6;Typ;1;Gd;Attchd;2005;Fin;2;400;TA;TA;Y;0;0;0;0;0;0;NA;NA;NA;0;7;2006;New;Partial
204;40203;1650;144100;50;RM;56;8398;Pave;Grvl;Reg;Lvl;AllPub;Inside;Gtl;OldTown;Norm;Norm;1Fam;1.5Fin;6;8;1910;1990;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;TA;TA;CBlock;Gd;Gd;No;BLQ;259;Unf;0;667;926;GasA;TA;Y;SBrkr;991;659;0;0;0;2;0;3;1;TA;6;Typ;0;NA;Detchd;1979;Unf;2;468;TA;TA;N;128;103;0;0;0;0;NA;NA;NA;0;11;2007;WD ;Normal
205;40204;1590;294900;20;RL;78;11645;Pave;NA;Reg;Lvl;AllPub;Inside;Gtl;CollgCr;Norm;Norm;1Fam;1Story;8;5;2005;2006;Hip;CompShg;VinylSd;VinylSd;BrkFace;198;Gd;TA;PConc;Ex;TA;Gd;GLQ;1122;Unf;0;448;1570;GasA;Ex;Y;SBrkr;1590;0;0;1;0;2;1;2;1;Ex;6;Typ;0;NA;Attchd;2005;Fin;3;754;TA;TA;Y;176;80;0;0;0;0;NA;NA;NA;0;8;2006;New;Partial
206;40205;1484;50000;50;RM;60;10320;Pave;Grvl;Reg;Lvl;AllPub;Corner;Gtl;IDOTRR;Artery;Norm;1Fam;1.5Fin;4;1;1910;1950;Gable;CompShg;Wd Sdng;Wd Sdng;None;0;Fa;Fa;CBlock;TA;Fa;No;Unf;0;Unf;0;771;771;GasA;Fa;Y;SBrkr;866;504;114;0;0;2;0;3;1;TA;6;Sal;0;NA;Detchd;1910;Unf;1;264;TA;Fa;N;14;211;0;0;84;0;NA;NA;NA;0;9;2007;COD;Abnorml
207;40206;2353;260000;60;RL;94;13005;Pave;NA;IR1;Lvl;AllPub;Corner;Gtl;NWAmes;Norm;Norm;1Fam;2Story;7;7;1980;1980;Gable;CompShg;CemntBd;CmentBd;BrkFace;278;Gd;TA;CBlock;Gd;TA;No;GLQ;692;Unf;0;153;845;GasA;TA;Y;SBrkr;1153;1200;0;1;0;2;1;4;1;Ex;10;Typ;1;TA;Attchd;1983;RFn;2;484;TA;TA;Y;288;195;0;0;0;0;NA;GdPrv;NA;0;8;2009;WD ;Normal
208;40207;1337;180000;120;RL;41;5395;Pave;NA;IR1;HLS;AllPub;Inside;Gtl;StoneBr;Norm;Norm;TwnhsE;1Story;8;5;1993;1993;Gable;CompShg;HdBoard;HdBoard;None;0;Gd;TA;PConc;Gd;TA;No;GLQ;733;Unf;0;604;1337;GasA;Gd;Y;SBrkr;1337;0;0;1;0;2;0;2;1;Gd;5;Typ;1;TA;Attchd;1993;RFn;2;462;TA;TA;Y;96;0;70;168;0;0;NA;NA;NA;0;10;2008;WD ;Normal
